2024-09-19 07:12:05.709631 -- Sleeping 10 segs ... 
2024-09-19 07:12:15.854468 -- Sleeping 10 segs ... 
2024-09-19 07:12:48.725761 -- Sleeping 10 segs ... 
2024-09-19 07:12:58.873053 -- Sleeping 10 segs ... 
2024-09-19 07:13:09.023505 -- Sleeping 10 segs ... 
2024-09-19 07:13:19.167328 -- Sleeping 10 segs ... 
2024-09-19 07:13:29.313050 -- Sleeping 10 segs ... 
2024-09-19 07:13:39.511542 -- Sleeping 10 segs ... 
2024-09-19 07:13:49.658375 -- Sleeping 10 segs ... 
2024-09-19 07:13:59.814468 -- Sleeping 10 segs ... 
2024-09-19 07:14:09.965336 -- Sleeping 10 segs ... 
2024-09-19 07:14:20.114353 -- Sleeping 10 segs ... 
2024-09-19 07:14:57.080408 -- inserting match : EUW1_7122561426 
2024-09-19 07:14:58.507779 -- inserting match : EUW1_7122332864 
2024-09-19 07:14:59.992930 -- inserting match : EUW1_7122305258 
2024-09-19 07:15:01.690404 -- inserting match : EUW1_7116942110 
2024-09-19 07:15:03.819254 -- Sleeping 10 segs ... 
2024-09-19 07:15:13.972963 -- Sleeping 10 segs ... 
2024-09-19 07:15:24.122887 -- Sleeping 10 segs ... 
2024-09-19 07:15:34.267450 -- Sleeping 10 segs ... 
2024-09-19 07:15:44.453554 -- Sleeping 10 segs ... 
2024-09-19 07:15:54.619554 -- Sleeping 10 segs ... 
2024-09-19 07:16:04.774071 -- Sleeping 10 segs ... 
2024-09-19 07:16:14.925324 -- Sleeping 10 segs ... 
2024-09-19 07:16:25.082019 -- Sleeping 10 segs ... 
2024-09-19 07:16:38.150669 -- inserting match : EUW1_7122565024 
2024-09-19 07:16:39.581366 -- inserting match : EUW1_7122532348 
2024-09-19 07:16:40.883127 -- inserting match : EUW1_7122517792 
2024-09-19 07:16:42.264783 -- inserting match : EUW1_7122492603 
2024-09-19 07:16:43.633744 -- inserting match : EUW1_7121405754 
2024-09-19 07:16:44.988438 -- inserting match : EUW1_7121014225 
2024-09-19 07:16:46.433303 -- inserting match : EUW1_7120214984 
2024-09-19 07:16:47.799822 -- inserting match : EUW1_7120199957 
2024-09-19 07:16:49.147660 -- inserting match : EUW1_7116332955 
2024-09-19 07:16:50.486292 -- inserting match : EUW1_7115998658 
2024-09-19 07:16:51.915837 -- inserting match : EUW1_7115956878 
2024-09-19 07:16:53.376659 -- inserting match : EUW1_7115927889 
2024-09-19 07:16:54.766458 -- inserting match : EUW1_7115878197 
2024-09-19 07:16:56.053879 -- inserting match : EUW1_7114824758 
2024-09-19 07:16:57.493722 -- inserting match : EUW1_7113999930 
2024-09-19 07:17:17.057697 -- Sleeping 10 segs ... 
2024-09-19 07:17:27.215541 -- Sleeping 10 segs ... 
2024-09-19 07:17:37.378758 -- Sleeping 10 segs ... 
2024-09-19 07:17:47.558693 -- Sleeping 10 segs ... 
2024-09-19 07:17:57.714507 -- Sleeping 10 segs ... 
2024-09-19 07:18:07.866728 -- Sleeping 10 segs ... 
2024-09-19 07:18:18.014394 -- Sleeping 10 segs ... 
2024-09-19 07:18:28.167366 -- Sleeping 10 segs ... 
2024-09-19 07:18:45.505108 -- inserting match : EUW1_7123279279 
2024-09-19 07:18:46.884746 -- inserting match : EUW1_7122630799 
2024-09-19 07:18:48.247400 -- inserting match : EUW1_7122447906 
2024-09-19 07:18:49.666531 -- inserting match : EUW1_7121393088 
2024-09-19 07:18:50.969447 -- inserting match : EUW1_7121370916 
